"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"1","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.375,53.875,"SSP5-8.5","SST",0.020602403,0,0.301235968,0.627000095,0.991342046,0.098091961,0.502202025,0.275866481,0.069483451,0.828104675,0.606379153,0.075700225,0.237209616,0.293951854,0.466875628,0.386781103,0.394916876,0.383046624,0.410562795,0.277998713,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"2","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.125,53.875,"SSP5-8.5","SST",0.019825713,0,0.25898115,0.635625164,0.991342046,0.098091961,0.502202025,0.271996204,0.069483451,0.828104675,0.606379153,0.085441321,0.228608007,0.295768581,0.465908059,0.387422515,0.39735215,0.380362229,0.411151687,0.291621121,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"3","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.875,53.875,"SSP5-8.5","SST",0.018486351,0,0.253599254,0.665523748,0.991342046,0.098091961,0.502202025,0.276653664,0.069483451,0.828104675,0.580006197,0.061796893,0.234402338,0.309730184,0.467072424,0.3866517,0.384847804,0.382265187,0.409727363,0.302950291,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"4","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.625,53.875,"SSP5-8.5","SST",0.01665041,0,0.226728956,0.672486198,0.991342046,0.098091961,0.502202025,0.274128256,0.069483451,0.828104675,0.551348437,0.041239759,0.228966391,0.313165829,0.466441072,0.38706811,0.372544081,0.38345567,0.406923231,0.318803567,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"5","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.375,53.875,"SSP5-8.5","SST",0.015022962,0,0.212885674,0.684374789,0.991342046,0.098091961,0.502202025,0.268963066,0.069483451,0.828104675,0.519787101,0.042453253,0.228070856,0.319295886,0.465149774,0.387931196,0.36495712,0.378502054,0.406167334,0.327200903,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"6","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.125,53.875,"SSP5-8.5","SST",0.014032243,0,0.19996071,0.678934432,0.991342046,0.098091961,0.502202025,0.271010934,0.069483451,0.828104675,0.513977676,0.054669186,0.223231846,0.317176777,0.465661742,0.387587175,0.366558747,0.374293029,0.405531556,0.329906014,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"7","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.875,53.875,"SSP5-8.5","SST",0.013097094,0,0.09288287,0.676888071,0.991342046,0.098091961,0.502202025,0.279324618,0.069483451,0.828104675,0.391033477,0.077545303,0.195717009,0.323396368,0.467740162,0.386215295,0.341541727,0.357259361,0.397331817,0.377446513,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"8","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.625,53.875,"SSP5-8.5","SST",0.013837709,0,0.042816148,0.690805418,0.991342046,0.098091961,0.502202025,0.292689146,0.069483451,0.828104675,0.388996121,0.007548088,0.186864819,0.336433742,0.471081295,0.384093977,0.323533084,0.375617551,0.394463961,0.408905464,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"9","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.375,53.875,"SSP5-8.5","SST",0.015319753,0,0.034735259,0.717049879,0.991342046,0.098091961,0.502202025,0.339385261,0.069483451,0.828104675,0.408202145,0.002462999,0.191776223,0.350470771,0.482755323,0.377517993,0.327063318,0.378302659,0.390941025,0.408412137,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","High","High","Moderate"
"10","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.125,53.875,"SSP5-8.5","SST",0.017029795,0,0.034735259,0.718347096,0.991342046,0.098091961,0.502202025,0.42470692,0.069483451,0.828104675,0.43041174,0.002112448,0.192528038,0.350832781,0.504085738,0.369032158,0.332528079,0.380150996,0.380697449,0.39230577,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","Moderate","High","Moderate"
"11","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.375,53.625,"SSP5-8.5","SST",0.02046161,0,0.300866692,0.630097309,0.991342046,0.098091961,0.502202025,0.276972972,0.069483451,0.828104675,0.620385507,0.064343301,0.237856403,0.295329979,0.467152251,0.386599312,0.395579234,0.388875224,0.411027303,0.280621645,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"12","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.125,53.625,"SSP5-8.5","SST",0.019728922,0,0.302794932,0.635132959,0.991342046,0.098091961,0.502202025,0.276908595,0.069483451,0.828104675,0.609221168,0.085117783,0.239414203,0.297876503,0.467136157,0.386609869,0.39798177,0.380973672,0.412002535,0.277593001,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"13","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.875,53.625,"SSP5-8.5","SST",0.01894011,0,0.268205983,0.663780067,0.991342046,0.098091961,0.502202025,0.273064415,0.069483451,0.828104675,0.591720735,0.073448527,0.23773154,0.309209753,0.466175112,0.387244623,0.390689347,0.381034012,0.411859759,0.295505088,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"14","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.625,53.625,"SSP5-8.5","SST",0.017831052,0,0.263767296,0.670999179,0.991342046,0.098091961,0.502202025,0.274190648,0.069483451,0.828104675,0.571000238,0.055025715,0.238149382,0.312660902,0.46645667,0.387057778,0.38090352,0.382668019,0.409710833,0.302399331,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"15","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.375,53.625,"SSP5-8.5","SST",0.016472543,0,0.251882607,0.686604628,0.991342046,0.098091961,0.502202025,0.272053965,0.069483451,0.828104675,0.5379147,0.044612754,0.238739945,0.319976595,0.465922499,0.387412879,0.370028895,0.380456871,0.408122318,0.312349357,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"16","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.125,53.625,"SSP5-8.5","SST",0.015164255,0,0.236414652,0.684945996,0.991342046,0.098091961,0.502202025,0.267895577,0.069483451,0.828104675,0.519787101,0.04720924,0.234131226,0.319376025,0.464882902,0.388111473,0.366146117,0.377156347,0.407011208,0.318241704,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"17","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.875,53.625,"SSP5-8.5","SST",0.014032031,0,0.173773943,0.701322113,0.991342046,0.098091961,0.502202025,0.271606507,0.069483451,0.828104675,0.396097198,0.049466932,0.222282022,0.328942649,0.465810635,0.387487576,0.335788064,0.364650872,0.399165279,0.349670193,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"18","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.625,53.625,"SSP5-8.5","SST",0.013436243,0,0.124061382,0.715288721,0.991342046,0.098091961,0.502202025,0.280329537,0.069483451,0.828104675,0.392049607,0.027672024,0.213196586,0.339312332,0.467991392,0.386052171,0.329327439,0.370237622,0.39779788,0.374035906,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"19","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.375,53.625,"SSP5-8.5","SST",0.014395308,0,0.034735259,0.707695383,0.991342046,0.098091961,0.502202025,0.304810227,0.069483451,0.828104675,0.386245514,0.005845717,0.189206488,0.345952857,0.474111565,0.382260875,0.32241984,0.375937433,0.393825619,0.412399668,"Low","Low","Low","Critical","Low","Critical","High","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"20","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-52.125,53.625,"SSP5-8.5","SST",0.015723081,0,0.034735259,0.706357349,0.991342046,0.098091961,0.502202025,0.357266107,0.069483451,0.828104675,0.42205096,0.002681932,0.189203922,0.345061329,0.487225535,0.375354119,0.330580255,0.379291572,0.388753044,0.404957967,"Low","Low","Low","Critical","Low","Critical","High","High","Low","Critical","High","Low","Low","Moderate","High","Moderate"
"21","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.375,53.375,"SSP5-8.5","SST",0.019847064,0,0.091913428,0.658294867,0.991342046,0.098091961,0.502202025,0.278618408,0.069483451,0.828104675,0.59727874,0.050540037,0.19251384,0.313021726,0.46756361,0.386330281,0.386351726,0.388506056,0.408954424,0.370368399,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"22","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-54.125,53.375,"SSP5-8.5","SST",0.018719966,0,0.324003811,0.650868924,0.991342046,0.098091961,0.502202025,0.274376554,0.069483451,0.828104675,0.586921731,0.047223348,0.248398175,0.306677164,0.466503147,0.387027006,0.382933301,0.387616999,0.410645209,0.283776858,"Low","Low","Moderate","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"23","American Lobster","Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus",-53.875,53.375,"SSP5-8.5","SST",0.018046155,0,0.241298416,0.66607839,0.991342046,0.098091961,0.502202025,0.274843148,0.069483451,0.828104675,0.575401304,0.049777063,0.23135574,0.309897347,0.466619795,0.38694986,0.380691623,0.384900538,0.408711928,0.309755813,"Low","Low","Low","High","Low","Critical","High","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
