"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"1","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.875,76.375,"SSP5-8.5","SST",0.014566349,0.5,0.04308464,0.536297938,0.975065066,0.239063656,0.337641682,0.186794835,0.069483451,0.813761455,0.320272999,0.097134901,0.273487232,0.283138882,0.43464131,0.365670734,0.325163201,0.344538923,0.417335967,0.344773253,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Moderate","High","High","Moderate"
"2","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.875,76.125,"SSP5-8.5","SST",0.014696956,0.5,0.061144704,0.540655707,0.975065066,0.239063656,0.337641682,0.192186429,0.069483451,0.813761455,0.332954101,0.125981914,0.279124342,0.279655548,0.435989208,0.364460553,0.33554523,0.338330768,0.418577472,0.321977127,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"3","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.625,76.125,"SSP5-8.5","SST",0.014954153,0.5,0.060810063,0.551547527,0.975065066,0.239063656,0.337641682,0.192380052,0.069483451,0.813761455,0.363631449,0.128601161,0.281827936,0.283089046,0.436037614,0.364417389,0.343869379,0.338041982,0.420997196,0.314183276,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"4","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.375,76.125,"SSP5-8.5","SST",0.015143946,0.5,0.052945723,0.550511532,0.975065066,0.239063656,0.337641682,0.196628992,0.069483451,0.813761455,0.353127496,0.391344606,0.2796503,0.28476796,0.437099849,0.363475386,0.406929252,0.306876533,0.433456569,0.263305289,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","High","Moderate","High","High","High"
"5","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.875,75.875,"SSP5-8.5","SST",0.016774173,0.5,0.111700849,0.499189253,0.975065066,0.239063656,0.337641682,0.191426225,0.069483451,0.813761455,0.323465698,0.071224124,0.281916069,0.254323733,0.435799157,0.364630223,0.319483682,0.35045651,0.4137897,0.338135542,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Moderate","High","High","Moderate"
"6","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.625,75.875,"SSP5-8.5","SST",0.016620839,0.5,0.073596931,0.508162101,0.975065066,0.239063656,0.337641682,0.195872749,0.069483451,0.813761455,0.320272999,0.116967651,0.274594968,0.266027502,0.436910788,0.363642318,0.330121389,0.34027996,0.414712734,0.323380849,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"7","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.375,75.875,"SSP5-8.5","SST",0.016443707,0.5,0.090627281,0.501321398,0.975065066,0.239063656,0.337641682,0.196056021,0.069483451,0.813761455,0.321240444,0.113278818,0.277098096,0.259918848,0.436956606,0.363601834,0.329441042,0.341046218,0.414174395,0.319684027,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"8","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.125,75.875,"SSP5-8.5","SST",0.016291996,0.5,0.089132429,0.496696073,0.975065066,0.239063656,0.337641682,0.196230278,0.069483451,0.813761455,0.352200257,0.137318522,0.275530125,0.259004254,0.43700017,0.363563358,0.343190921,0.336063991,0.415863632,0.29861451,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"9","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.875,75.875,"SSP5-8.5","SST",0.016231305,0.5,0.08391088,0.500951001,0.975065066,0.239063656,0.337641682,0.192110066,0.069483451,0.813761455,0.322190422,0.177010827,0.275273296,0.26150516,0.435970117,0.364477582,0.345611539,0.328829142,0.416548941,0.289502547,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"10","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.625,75.875,"SSP5-8.5","SST",0.01624304,0.5,0.078920042,0.494235532,0.975065066,0.239063656,0.337641682,0.192079332,0.069483451,0.813761455,0.325321177,0.13680179,0.272349654,0.260808765,0.435962434,0.364484437,0.336341968,0.336194673,0.414723601,0.309332518,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"11","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.375,75.875,"SSP5-8.5","SST",0.016412503,0.5,0.073461046,0.498060024,0.975065066,0.239063656,0.337641682,0.191893954,0.069483451,0.813761455,0.332094603,0.244835544,0.271983393,0.263204495,0.435916089,0.364525793,0.365043763,0.318454145,0.419695541,0.265804955,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"12","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-74.125,75.875,"SSP5-8.5","SST",0.016855416,0.5,0.064418084,0.509824377,0.975065066,0.239063656,0.337641682,0.19182956,0.069483451,0.813761455,0.34154148,0.310825675,0.272774469,0.268781848,0.435899991,0.364540163,0.383903015,0.31132659,0.424743455,0.254975746,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","High","Moderate","High","High","Moderate"
"13","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.875,75.625,"SSP5-8.5","SST",0.017713285,0.5,0.074799894,0.505131297,0.975065066,0.239063656,0.337641682,0.195891504,0.069483451,0.813761455,0.336087237,0.08736495,0.274411119,0.264487279,0.436915477,0.363638174,0.326674273,0.34677495,0.414353868,0.333347479,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Moderate","High","High","Moderate"
"14","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.625,75.625,"SSP5-8.5","SST",0.017646605,0.5,0.069948222,0.505933797,0.975065066,0.239063656,0.337641682,0.196043733,0.069483451,0.813761455,0.339205657,0.142280931,0.273382156,0.265971145,0.436953534,0.363604547,0.341182873,0.335020887,0.416101173,0.306791686,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
"15","Atlantic Cod","Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus",-75.375,75.625,"SSP5-8.5","SST",0.017610087,0.5,0.054366887,0.507801475,0.975065066,0.239063656,0.337641682,0.196052813,0.069483451,0.813761455,0.355217484,0.151254209,0.269944612,0.270584452,0.436955804,0.363602542,0.34742915,0.333299113,0.417316911,0.306277391,"Low","Critical","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Moderate","High","High","Moderate"
