"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"1","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-71.125,71.375,"SSP5-8.5","SST",0.003216606,0,0.292395886,0.633420996,0.966495335,0.205094997,0.504152423,0.198074526,0.069483451,0.337220067,0.441199199,0.009738412,0.232258372,0.300528453,0.46845432,0.361378183,0.214410283,0.207693538,0.361339973,0.343920537,"Low","Low","Moderate","High","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"2","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-71.375,71.125,"SSP5-8.5","SST",0.003137502,0,0.996512221,0.53324344,0.966495335,0.205094997,0.504152423,0.189364609,0.069483451,0.337220067,0,NA,0.383223291,0.479567394,0.466276841,0.363570003,NA,NA,0.484970349,0.449819859,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","Low",NA,"Moderate","High",NA,"High"
"3","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-68.625,70.375,"SSP5-8.5","SST",0.001463129,0,0.340275396,0.501873932,0.966495335,0.205094997,0.504152423,0.151522453,0.069483451,0.337220067,0.523397004,0.054810685,0.210903115,0.251493164,0.456816302,0.373533298,0.246227802,0.225818096,0.364223597,0.298462224,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"4","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-68.375,70.375,"SSP5-8.5","SST",0.00148625,0,0.536813786,0.503875937,0.966495335,0.205094997,0.504152423,0.151989792,0.069483451,0.337220067,0.500264891,0.028850858,0.260543993,0.300294034,0.456933137,0.373406029,0.233954817,0.224130343,0.374972494,0.294065956,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"5","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-68.125,70.375,"SSP5-8.5","SST",0.001808313,0,0.223401652,0.598350114,0.966495335,0.205094997,0.504152423,0.169253647,0.069483451,0.337220067,0.516855814,0.034971453,0.20589002,0.281881551,0.4612491,0.368777585,0.239632696,0.228919885,0.36610244,0.355656486,"Low","Low","Low","High","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"6","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-68.375,70.125,"SSP5-8.5","SST",0.001428414,0,0.964362517,0.478185359,0.966495335,0.205094997,0.504152423,0.151433043,0.069483451,0.337220067,0,NA,0.360994073,0.460937979,0.456793949,0.373557659,NA,NA,0.483064174,0.451741958,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","Low",NA,"Moderate","High",NA,"High"
"7","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.125,69.875,"SSP5-8.5","SST",0.001841588,0,0.609853803,0.384468241,0.966495335,0.205094997,0.504152423,0.174545284,0.069483451,0.337220067,0.483706602,0.026606307,0.249040908,0.300918253,0.46257201,0.367387831,0.229254107,0.218323548,0.369492009,0.313714429,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"8","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.625,69.625,"SSP5-8.5","SST",0.002057564,0,0.270158882,0.465121265,0.966495335,0.205094997,0.504152423,0.168328823,0.069483451,0.337220067,0.546497392,0.020613872,0.184334428,0.226135005,0.461017894,0.369021884,0.243453696,0.245323492,0.35949354,0.327650744,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"9","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.375,69.625,"SSP5-8.5","SST",0.00208826,0,0.996512221,0.448155303,0.966495335,0.205094997,0.504152423,0.168522062,0.069483451,0.337220067,0.491656758,0.02852537,0.361688946,0.47279614,0.461066204,0.368970804,0.231721412,0.220836393,0.401635965,0.339552653,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"10","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-67.125,69.625,"SSP5-8.5","SST",0.002111479,0,0.254666621,0.394318663,0.966495335,0.205094997,0.504152423,0.169189167,0.069483451,0.337220067,0.469081691,0.049629093,0.162774191,0.195247711,0.46123298,0.368794604,0.231353576,0.205708609,0.344387254,0.300623751,"Low","Low","Moderate","Moderate","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
