"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"1","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-68.125,68.625,"SSP5-8.5","SST",0.004683685,0,0.996512221,0.444722408,0.972380939,0.192901048,0.391110344,0.179908021,0.069483451,0.640531066,0.571665709,0.022725989,0.361479578,0.471934537,0.434075088,0.371656192,0.326101554,0.325093452,0.445644876,0.380276904,"Low","Low","Critical","Moderate","Low","High","Critical","Critical","Low","Critical","High","Low","Moderate","High","High","High"
"2","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.375,68.625,"SSP5-8.5","SST",0.004319015,0,0.089802882,0.726619094,0.972380939,0.192901048,0.391110344,0.188003093,0.069483451,0.640531066,0.41206303,0.007492546,0.205185248,0.3500736,0.436098856,0.369828393,0.282392523,0.297757131,0.406136111,0.466309593,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
"3","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.375,68.375,"SSP5-8.5","SST",0.004387902,0,0.089802882,0.717095337,0.972380939,0.192901048,0.391110344,0.188137731,0.069483451,0.640531066,0.409222486,0.009083295,0.20282153,0.345332323,0.436132516,0.369798291,0.282080075,0.296859603,0.405381344,0.465588334,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
"4","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.125,68.375,"SSP5-8.5","SST",0.004574455,0,0.118077962,0.72112274,0.972380939,0.192901048,0.391110344,0.190289289,0.069483451,0.640531066,0.417796754,0.02557871,0.210943789,0.344476515,0.436670405,0.369318584,0.288347495,0.293109355,0.405678213,0.451017702,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
"5","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-58.875,68.375,"SSP5-8.5","SST",0.004689429,0,0.145564177,0.71672069,0.972380939,0.192901048,0.391110344,0.192990883,0.069483451,0.640531066,0.432741341,0.097622236,0.216743574,0.340092321,0.437345804,0.368719803,0.310094523,0.27523851,0.406620038,0.43134311,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"6","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.375,68.125,"SSP5-8.5","SST",0.004564347,0,0.089802882,0.721121227,0.972380939,0.192901048,0.391110344,0.187834424,0.069483451,0.640531066,0.402709018,0.007412914,0.203872114,0.347297115,0.436056689,0.369866117,0.280034112,0.296457464,0.405309283,0.466295648,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
"7","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.125,68.125,"SSP5-8.5","SST",0.00467881,0,0.12833154,0.716937089,0.972380939,0.192901048,0.391110344,0.190075713,0.069483451,0.640531066,0.415664925,0.014410987,0.21248686,0.341509884,0.436617011,0.36936609,0.285022607,0.296165188,0.405327069,0.448828345,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
"8","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-58.875,68.125,"SSP5-8.5","SST",0.004739379,0,0.156363756,0.726620808,0.972380939,0.192901048,0.391110344,0.201073498,0.069483451,0.640531066,0.422971366,0.106352342,0.221930986,0.344207512,0.439366457,0.366952232,0.309834556,0.271620927,0.405914509,0.428320272,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Moderate","High","High","Moderate"
"9","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-58.625,68.125,"SSP5-8.5","SST",0.004761336,0,0.139702199,0.743925755,0.972380939,0.192901048,0.391110344,0.203874261,0.069483451,0.640531066,0.436602855,0.201081725,0.222097322,0.353862507,0.440066648,0.36634815,0.336924774,0.253041957,0.410402224,0.450511694,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Moderate","Moderate","High","High","Moderate"
"10","Pollock","Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius",-59.375,67.875,"SSP5-8.5","SST",0.004565129,0,0.089802882,0.721013378,0.972380939,0.192901048,0.391110344,0.187373332,0.069483451,0.640531066,0.404744049,0.002440926,0.203845347,0.347243424,0.435941416,0.369969323,0.279299873,0.298271701,0.405501119,0.467159925,"Low","Low","Low","Critical","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","Moderate","Moderate"
