"Indicator","Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high","p.significant"
"Abundance","Canada","2006-2023","scale(Year)",0.896938639237278,0.110538759447529,8.11424557069538,4.61138510378984e-07,0.662606937315117,1.13127034115944,"Very strong"
"Abundance","USA","2006-2023","scale(Year)",-0.192078487234786,0.245344891777575,-0.782891731892757,0.4451245768943,-0.712186423450932,0.328029448981359,"Not significant"
"Area Occupied","Canada","2006-2023","scale(Year)",0.838517501303004,0.136218666123757,6.15567253126087,1.38237821318367e-05,0.549746829134402,1.12728817347161,"Very strong"
"Area Occupied","USA","2006-2023","scale(Year)",0.745680780724975,0.166575841071228,4.47652418219592,0.000381632214794792,0.392555772515842,1.09880578893411,"Very strong"
"Leading_Edge_East","Canada","2006-2023","scale(Year)",0.576590319954508,0.204258354011341,2.82284816572297,0.0122497380705193,0.143581952875655,1.00959868703336,"Moderate"
"Leading_Edge_North","Canada","2006-2023","scale(Year)",0.369247432079282,0.232332780444191,1.58930406365098,0.131554206475723,-0.123276060367165,0.86177092452573,"Not significant"
"Trailing_Edge_East","USA","2006-2023","scale(Year)",0.473345396027842,0.220219228278783,2.1494280936659,0.0472441496577772,0.00650148700923392,0.940189305046449,"Moderate"
"Trailing_Edge_North","USA","2006-2023","scale(Year)",0.334841054267806,0.235568656178091,1.421415988444,0.174394242177252,-0.164542188294558,0.83422429683017,"Not significant"
"COG_East","Canada","2006-2023","scale(Year)",0.934369367741996,0.089076471579699,10.4895192992236,1.40701891142627e-08,0.74553568360426,1.12320305187973,"Very strong"
"COG_East","USA","2006-2023","scale(Year)",-0.661159842834186,0.187561267027516,-3.52503399722284,0.00281091474768901,-1.05877196673447,-0.263547718933902,"Strong"
"COG_North","Canada","2006-2023","scale(Year)",0.941120726669436,0.08451766747003,11.1351952182443,6.03264182611753e-09,0.7619512755219,1.12029017781697,"Very strong"
"COG_North","USA","2006-2023","scale(Year)",-0.762459001090053,0.161759132597042,-4.71354531177795,0.000234259011493068,-1.10537304347996,-0.419544958700151,"Very strong"
"Distance to Border","Canada","2006-2023","scale(Year)",0.893008403353079,0.112509997206022,7.93714714718066,6.14204972883682e-07,0.654497864060666,1.13151894264549,"Very strong"
"Distance to Border","USA","2006-2023","scale(Year)",-0.413082221689363,0.227673433634145,-1.81436285778146,0.0884166618112594,-0.895728340142285,0.0695638967635583,"Not significant"
"Abundance Weighted Depth","Canada","2006-2023","scale(Year)",0.375426191165259,0.231713073512689,1.62022015190568,0.12472387280997,-0.115783581273133,0.866635963603652,"Not significant"
"Abundance Weighted Depth","USA","2006-2023","scale(Year)",0.237368040630469,0.242854948128411,0.977406647300258,0.342915749715179,-0.277461450849053,0.75219753210999,"Not significant"
